Accuracy,Kernel,C,Degree,Gamma,Coefficient
0.974353817,poly,0.5,2,0,5
0.974353817,poly,1,2,0,5
0.974353817,poly,3,2,0,5
0.974353817,poly,7,2,0,5
0.974353817,poly,0.5,2,0,5
0.981796239,linear,0.5,0,0,0
0.981796239,linear,1,0,0,0
0.981796239,linear,3,0,0,0
0.981796239,linear,7,0,0,0
0.981796239,linear,10,0,0,0
0.981796239,linear,20,0,0,0
0.981796239,linear,40,0,0,0
0.981796239,linear,60,0,0,0
0.983707131,poly,0.5,3,0,5
0.983707131,poly,1,3,0,5
0.983707131,poly,3,3,0,5
0.983707131,poly,7,3,0,5
1,poly,1,2,2,5
1,poly,3,2,6,5
1,poly,7,2,10,5
1,rbf,0.5,0,2,0
1,rbf,1,0,2,0
1,rbf,3,0,2,0
1,rbf,7,0,2,0
1,rbf,0.5,0,100,0
1,rbf,1,0,100,0
1,rbf,7,0,100,0
